inc_id,inc_off_count,inc_coh_homophily_ratio
UF17-001,5,0.40000001
UF17-002,4,0.5
UF17-004,3,0
UF17-007,3,0
UF17-010,2,0
UF17-011,3,0
UF17-013,2,1
UF17-014,4,0
UF17-016,2,0
UF17-017,2,0
UF17-019,4,0
UF17-021,2,0
UF17-022,2,0
UF17-023,2,0
UF17-025,2,0
UF17-027,2,0
UF17-028,3,0.66666669
UF17-029,2,0
UF17-030,2,0
UF17-031,3,0
UF17-035,2,0
UF17-036,3,1
UF17-040,2,0
UF17-042,3,0
UF17-043,4,0
UF17-045,3,0
UF17-046,4,0
UF17-048,7,0.71428573
UF17-049,4,0
UF17-053,6,0.33333334
UF17-054,2,0
UF17-058,2,0
UF17-059,2,0
UF17-061,3,0
UF17-063,5,0
UF17-064,5,0
UF17-066,2,0
UF17-070,2,0
UF17-071,2,0
UF17-073,2,0
UF17-077,2,0
UF17-080,3,0
UF17-083,2,0
UF17-084,2,1
UF17-085,2,0
UF17-086,4,0
UF17-088,6,0.33333334
UF17-090,2,0
UF17-092,4,1
UF17-094,3,0
UF17-095,6,0.83333331
UF17-096,2,1
UF17-098,4,0.5
UF17-099,3,0
UF17-100,3,0
UF17-104,2,0
UF17-106,2,0
UF17-107,4,0
UF17-108,2,0
UF17-115,2,1
UF17-117,2,0
UF17-118,3,0
UF17-120,2,0
UF17-121,2,0
UF17-124,2,0
UF17-125,3,0.66666669
UF17-126,5,0.40000001
UF17-127,2,0
UF17-128,2,1
UF17-131,3,0
UF17-132,3,1
UF17-133,3,0
UF17-134,6,0.66666669
UF17-135,2,0
UF17-136,3,0
UF17-137,2,0
UF17-139,2,0
UF17-140,3,0
UF17-141,4,0
UF17-142,2,0
UF17-144,2,0
UF17-145,7,0
UF17-146,2,0
UF17-148,4,0.5
UF17-149,3,0
UF17-150,6,0.83333331
UF17-152,2,0
UF17-153,2,0
UF17-154,3,0.66666669
UF17-158,2,0
UF17-159,3,0.66666669
UF17-161,2,0
UF17-162,2,0
UF17-163,5,0
UF17-164,7,0.85714287
UF17-165,3,0
UF17-166,2,0
UF17-173,2,0
UF17-174,7,0
UF17-175,2,0
UF17-176,2,1
UF17-177,2,0
UF17-179,3,0
UF17-182,2,0
UF17-183,3,0.66666669
UF17-186,2,0
UF17-187,2,0
UF17-188,3,0.66666669
UF17-189,3,0.66666669
UF17-190,2,0
UF17-192,3,0.66666669
UF17-193,4,0.5
UF17-194,4,0.5
UF17-195,3,0.66666669
UF17-197,2,0
UF17-199,2,0
UF17-200,2,0
UF17-201,2,0
UF17-202,2,1
UF17-204,2,0
UF17-205,3,0
UF17-206,2,0
UF17-208,4,0
UF17-209,5,0
UF17-211,3,0
UF17-215,2,0
UF17-216,2,0
UF17-217,2,0
UF17-218,2,0
UF17-220,3,0
UF17-222,2,0
UF17-223,2,0
UF17-226,2,0
UF17-227,2,0
UF17-228,2,0
UF17-229,2,0
UF17-230,3,0
UF17-233,8,0.625
UF17-236,5,0.40000001
UF17-238,2,0
UF17-241,5,0.40000001
UF17-243,4,0
UF17-244,2,0
UF17-245,2,0
UF17-246,2,0
UF17-250,7,0.5714286
UF17-251,3,0
UF17-252,2,0
UF17-255,5,0.40000001
UF17-256,2,0
UF17-257,2,0
UF17-258,2,0
UF17-259,2,0
UF17-260,2,0
UF17-261,2,0
UF17-262,3,0
UF17-263,3,0
UF17-265,2,0
UF17-266,3,0.66666669
UF17-268,4,0.5
UF17-269,3,0
UF17-271,2,0
UF17-275,4,0
UF17-276,2,0
UF17-277,2,0
UF17-278,2,0
UF17-279,2,0
UF17-280,2,0
UF17-283,6,0
UF17-284,3,0
UF17-285,2,0
UF17-286,3,1
UF17-287,3,0
UF17-288,2,0
UF17-290,7,0
UF17-291,2,0
UF17-293,7,0.71428573
UF17-295,3,0
UF17-298,2,1
UF17-299,2,0
UF17-300,3,0
UF17-302,2,0
UF17-304,2,0
UF17-305,2,0
UF17-306,2,0
UF17-307,4,0
UF17-308,2,0
UF17-309,3,0
UF17-311,3,0
UF17-313,3,0
UF17-314,2,0
UF17-315,3,0
UF17-317,2,1
UF17-318,2,0
UF17-319,3,0
UF17-320,2,0
UF17-321,2,0
UF17-325,2,0
UF17-326,2,0
UF17-327,6,0.33333334
UF17-330,3,0
UF17-331,5,0.40000001
UF17-334,2,0
UF17-335,2,0
UF17-336,2,0
UF17-337,3,0
UF17-338,3,0
UF17-339,4,0.5
UF17-340,2,0
UF17-343,4,0
UF17-344,3,0
UF17-345,3,0
UF17-346,2,0
UF17-347,3,0
