off_id,off_gender,off_race,off_age,off_yos,off_cohort,off_uof_count
1025,Male,Hispanic,57,29,75th,1
1272,Male,Hispanic,52,28,78th,1
1285,Male,Hispanic,53,28,78th,1
1393,Male,Hispanic,48,26,81st,1
1400,Male,Hispanic,48,26,81st,1
1404,Male,Hispanic,52,27,81st,1
1421,Male,Hispanic,50,26,81st,3
1446,Male,Hispanic,52,25,82nd,2
1493,Male,Hispanic,51,24,84th,1
1495,Male,Hispanic,48,24,84th,2
1496,Male,Asian/Pacific Islander,51,24,84th,1
1505,Male,Hispanic,47,24,84th,2
1538,Male,Hispanic,50,24,85th,2
1571,Male,Hispanic,46,24,86th,5
1600,Male,Hispanic,48,22,87th,8
1609,Male,Hispanic,47,23,87th,1
1610,Male,Hispanic,47,23,87th,4
1638,Male,Hispanic,45,23,87th,2
1640,Male,Hispanic,52,23,87th,1
1649,Male,Hispanic,51,23,87th,2
1670,Male,White,48,22,88th,1
1690,Male,Hispanic,50,23,89th,1
1698,Male,Hispanic,52,22,89th,2
1706,Male,Hispanic,46,22,89th,2
1720,Female,Hispanic,50,23,89th,1
1739,Male,Hispanic,47,22,90th,1
1742,Male,Hispanic,46,22,90th,1
1745,Male,Hispanic,50,21,90th,2
1797,Male,Hispanic,44,22,91st,1
1821,Male,White,50,20,92nd,1
1828,Male,Hispanic,52,20,92nd,6
1829,Male,Hispanic,47,20,92nd,3
1837,Male,Hispanic,47,19,93rd,3
1840,Male,White,45,19,93rd,3
1845,Male,Hispanic,61,20,93rd,3
1870,Male,Hispanic,42,20,94th,3
1875,Male,Hispanic,44,20,94th,1
1888,Male,Hispanic,47,20,94th,2
1892,Male,Hispanic,46,20,94th,1
1896,Male,Hispanic,63,19,94th,1
1915,Male,White,47,19,95th,2
1923,Male,Hispanic,45,19,95th,2
1924,Male,Hispanic,62,19,95th,6
1926,Male,Hispanic,41,18,95th,2
1941,Male,Hispanic,40,18,96th,1
1975,Male,Hispanic,50,18,97th,1
1998,Male,Hispanic,49,18,97th,3
2003,Male,Hispanic,40,18,97th,1
2010,Male,Hispanic,41,18,97th,1
2014,Male,Hispanic,41,18,97th,1
2015,Male,Hispanic,42,18,97th,1
2044,Female,Hispanic,57,18,97th,1
2063,Male,Hispanic,44,17,98th,1
2069,Male,Hispanic,49,17,98th,2
2070,Male,Hispanic,41,17,98th,1
2071,Male,Hispanic,44,17,98th,8
2072,Female,Hispanic,42,17,98th,1
2073,Male,Hispanic,42,17,98th,2
2076,Male,Hispanic,45,17,97th,4
2082,Male,Hispanic,43,17,98th,2
2087,Male,Hispanic,41,17,98th,2
2089,Male,Hispanic,57,17,98th,1
2093,Male,White,42,17,97th,2
2096,Male,Hispanic,54,17,98th,1
2097,Male,Hispanic,48,17,98th,2
2100,Male,Hispanic,43,17,98th,5
2102,Male,Hispanic,47,17,98th,1
2107,Male,Asian/Pacific Islander,50,16,98th,1
2120,Male,Hispanic,40,17,99th,2
2130,Male,Hispanic,53,17,99th,1
2132,Male,Hispanic,40,17,98th,1
2135,Male,Hispanic,43,16,99th,1
2140,Male,Hispanic,46,17,99th,2
2144,Male,Hispanic,41,16,99th,1
2151,Male,Hispanic,39,17,99th,1
2159,Female,White,48,16,99th,1
2165,Male,Hispanic,38,16,99th,1
2166,Male,Hispanic,54,16,99th,1
2167,Male,White,42,16,99th,1
2170,Male,White,56,16,99th,3
2173,Male,Hispanic,42,16,100th,2
2180,Male,White,39,15,100th,6
2185,Male,Hispanic,45,15,100th,2
2201,Male,White,42,16,100th,3
2212,Male,White,48,15,100th,2
2216,Male,Hispanic,45,16,100th,5
2220,Male,White,38,16,100th,1
2222,Male,White,42,16,100th,1
2223,Male,White,46,16,100th,1
2226,Male,White,38,15,100th,1
2230,Male,White,44,16,100th,1
2231,Male,Hispanic,40,15,101st,1
2232,Male,Hispanic,58,16,101st,2
2237,Male,Hispanic,39,15,101st,2
2239,Male,Hispanic,53,15,101st,7
2242,Male,Hispanic,37,15,101st,2
2246,Male,Hispanic,52,15,101st,3
2250,Male,Hispanic,54,15,101st,4
2252,Male,Hispanic,49,15,101st,7
2263,Male,Hispanic,58,15,101st,1
2266,Male,White,38,15,101st,1
2285,Male,Hispanic,43,14,102nd,4
2296,Male,Hispanic,60,15,102nd,2
2297,Male,Hispanic,43,14,102nd,2
2303,Male,White,54,14,102nd,1
2311,Male,Hispanic,41,14,102nd,2
2313,Male,Hispanic,45,15,102nd,1
2320,Male,Hispanic,45,14,102nd,1
2328,Male,Hispanic,41,15,102nd,2
2331,Male,Hispanic,46,14,102nd,1
2338,Male,Hispanic,42,14,102nd,2
2346,Male,Hispanic,36,14,102nd,4
2353,Male,Hispanic,56,15,102nd,1
2361,Male,Hispanic,40,13,103rd,2
2362,Male,Hispanic,40,14,103rd,3
2371,Male,Hispanic,50,13,103rd,2
2372,Male,Hispanic,36,14,103rd,1
2383,Male,Hispanic,37,13,103rd,1
2389,Male,White,57,14,103rd,2
2390,Male,Hispanic,46,13,103rd,3
2392,Male,Hispanic,48,14,103rd,1
2395,Male,Hispanic,39,13,103rd,4
