date,year,inc_id,off_id,off_gender,off_race,off_age,off_yos,off_cohort,off_uof_count,inc_off_count
03/09/2017,2017,UF17-107,1025,Male,Hispanic,57,29,75th,1,4
08/29/2017,2017,UF17-570,1272,Male,Hispanic,52,28,78th,1,3
09/01/2017,2017,UF17-520,1285,Male,Hispanic,53,28,78th,1,4
02/21/2017,2017,UF17-077,1393,Male,Hispanic,48,26,81st,1,2
01/29/2017,2017,UF17-144,1400,Male,Hispanic,48,26,81st,1,2
10/04/2017,2017,UF17-635,1404,Male,Hispanic,52,27,81st,1,11
03/18/2017,2017,UF17-135,1421,Male,Hispanic,50,26,81st,3,2
02/16/2017,2017,UF17-071,1446,Male,Hispanic,52,25,82nd,2,2
05/17/2017,2017,UF17-331,1493,Male,Hispanic,51,24,84th,1,5
09/01/2017,2017,UF17-520,1495,Male,Hispanic,48,24,84th,2,4
01/25/2017,2017,UF17-043,1496,Male,Asian/Pacific Islander,51,24,84th,1,5
10/15/2017,2017,UF17-584,1505,Male,Hispanic,48,25,84th,2,2
04/17/2017,2017,UF17-174,1538,Male,Hispanic,50,24,85th,2,5
06/28/2017,2017,UF17-322,1541,Male,Hispanic,47,24,85th,1,1
08/31/2017,2017,UF17-523,1571,Male,Hispanic,46,24,86th,5,2
07/26/2017,2017,UF17-480,1609,Male,Hispanic,47,23,87th,1,2
07/09/2017,2017,UF17-440,1610,Male,Hispanic,47,23,87th,4,3
10/10/2017,2017,UF17-615,1638,Male,Hispanic,45,23,87th,2,5
05/21/2017,2017,UF17-340,1640,Male,Hispanic,52,23,87th,1,2
10/12/2017,2017,UF17-586,1649,Male,Hispanic,52,23,87th,2,2
01/25/2017,2017,UF17-043,1670,Male,White,48,22,88th,1,5
09/29/2017,2017,UF17-601,1690,Male,Hispanic,50,23,89th,1,6
05/21/2017,2017,UF17-340,1706,Male,Hispanic,46,22,89th,2,2
11/13/2017,2017,UF17-679,1720,Female,Hispanic,50,23,89th,1,2
03/07/2017,2017,UF17-114,1734,Male,Hispanic,45,21,90th,1,1
10/04/2017,2017,UF17-635,1739,Male,Hispanic,47,22,90th,1,11
08/20/2017,2017,UF17-503,1742,Male,Hispanic,46,22,90th,1,2
01/30/2017,2017,UF17-064,1745,Male,Hispanic,50,21,90th,2,6
09/01/2017,2017,UF17-579,1787,Male,Hispanic,49,21,91st,1,1
11/23/2017,2017,UF17-742,1797,Male,Hispanic,44,22,91st,1,2
07/28/2017,2017,UF17-457,1821,Male,White,50,20,92nd,1,5
01/18/2017,2017,UF17-018,1828,Male,Hispanic,52,20,92nd,6,5
12/12/2017,2017,UF17-773,1829,Male,Hispanic,47,21,92nd,3,2
08/31/2017,2017,UF17-573,1837,Male,Hispanic,48,20,93rd,3,3
01/01/2017,2017,UF17-030,1840,Male,White,45,19,93rd,3,3
06/16/2017,2017,UF17-348,1845,Male,Hispanic,61,20,93rd,3,2
07/28/2017,2017,UF17-457,1870,Male,Hispanic,42,20,94th,3,4
05/26/2017,2017,UF17-347,1875,Male,Hispanic,44,20,94th,1,3
07/06/2017,2017,UF17-441,1888,Male,Hispanic,47,20,94th,2,2
11/13/2017,2017,UF17-679,1892,Male,Hispanic,46,20,94th,1,2
03/23/2017,2017,UF17-148,1896,Male,Hispanic,63,19,94th,1,4
07/28/2017,2017,UF17-457,1915,Male,White,47,19,95th,2,5
11/30/2017,2017,UF17-729,1923,Male,Hispanic,45,19,95th,2,2
10/12/2017,2017,UF17-688,1924,Male,Hispanic,62,19,95th,6,3
12/02/2017,2017,UF17-755,1926,Male,Hispanic,41,19,95th,2,1
02/08/2017,2017,UF17-042,1941,Male,Hispanic,40,18,96th,1,3
11/21/2017,2017,UF17-701,1975,Male,Hispanic,50,18,97th,1,2
09/21/2017,2017,UF17-591,1986,Male,Hispanic,41,18,97th,1,2
02/03/2017,2017,UF17-039,1990,Male,Hispanic,44,17,97th,1,1
06/19/2017,2017,UF17-379,1998,Male,Hispanic,49,18,97th,4,1
06/17/2017,2017,UF17-451,2003,Male,Hispanic,40,18,97th,1,5
04/10/2017,2017,UF17-206,2010,Male,Hispanic,41,18,97th,1,2
06/29/2017,2017,UF17-426,2014,Male,Hispanic,41,18,97th,1,3
06/12/2017,2017,UF17-364,2015,Male,Hispanic,42,18,97th,1,3
09/08/2017,2017,UF17-509,2044,Female,Hispanic,57,18,97th,1,7
10/07/2017,2017,UF17-561,2069,Male,Hispanic,49,17,98th,2,2
06/05/2017,2017,UF17-360,2070,Male,Hispanic,41,17,98th,1,3
01/18/2017,2017,UF17-026,2071,Male,Hispanic,43,16,98th,8,6
02/26/2017,2017,UF17-279,2072,Female,Hispanic,42,17,98th,1,2
11/02/2017,2017,UF17-654,2073,Male,Hispanic,42,17,98th,2,3
06/16/2017,2017,UF17-348,2076,Male,Hispanic,45,17,97th,4,2
08/07/2017,2017,UF17-405,2077,Male,Hispanic,43,17,98th,1,1
12/22/2017,2017,UF17-743,2082,Male,Hispanic,44,17,98th,2,6
12/15/2017,2017,UF18-0001,2087,Male,Hispanic,41,17,98th,2,1
11/18/2017,2017,UF17-712,2089,Male,Hispanic,57,17,98th,1,2
07/03/2017,2017,UF17-432,2093,Male,White,42,17,97th,2,3
09/08/2017,2017,UF17-509,2096,Male,Hispanic,54,17,98th,1,7
09/10/2017,2017,UF17-576,2100,Male,Hispanic,44,17,98th,5,1
03/10/2017,2017,UF17-128,2102,Male,Hispanic,47,17,98th,1,2
03/01/2017,2017,UF17-121,2107,Male,Asian/Pacific Islander,50,16,98th,1,2
01/22/2017,2017,UF17-041,2120,Male,Hispanic,39,16,99th,2,1
12/23/2017,2017,UF17-744,2130,Male,Hispanic,53,17,99th,1,5
09/26/2017,2017,UF17-593,2132,Male,Hispanic,40,17,98th,1,7
06/29/2017,2017,UF17-426,2135,Male,Hispanic,43,16,99th,2,3
11/16/2017,2017,UF17-698,2140,Male,Hispanic,46,17,99th,2,2
01/29/2017,2017,UF17-144,2144,Male,Hispanic,41,16,99th,1,2
12/23/2017,2017,UF17-744,2151,Male,Hispanic,39,17,99th,2,5
10/11/2017,2017,UF17-616,2156,Male,Hispanic,46,17,99th,2,1
05/26/2017,2017,UF17-309,2159,Female,White,48,16,99th,1,3
03/11/2017,2017,UF17-106,2165,Male,Hispanic,38,16,99th,1,3
06/16/2017,2017,UF17-348,2166,Male,Hispanic,54,16,99th,1,4
05/28/2017,2017,UF17-263,2167,Male,White,42,16,99th,1,3
07/04/2017,2017,UF17-709,2170,Male,White,56,16,99th,3,2
05/20/2017,2017,UF17-261,2173,Male,Hispanic,42,16,100th,2,2
05/20/2017,2017,UF17-260,2180,Male,White,40,16,100th,6,7
03/23/2017,2017,UF17-148,2185,Male,Hispanic,45,16,100th,2,4
08/30/2017,2017,UF17-535,2201,Male,White,42,16,100th,3,6
12/24/2017,2017,UF17-762,2212,Male,White,49,16,100th,2,3
10/07/2017,2017,UF17-561,2216,Male,Hispanic,45,16,100th,5,2
05/10/2017,2017,UF17-313,2220,Male,White,38,16,100th,1,3
12/25/2017,2017,UF18-0099,2222,Male,White,42,16,100th,1,3
03/23/2017,2017,UF17-148,2223,Male,White,46,16,100th,1,4
02/01/2017,2017,UF17-028,2226,Male,White,38,15,100th,1,3
04/08/2017,2017,UF17-251,2230,Male,White,44,16,100th,1,3
02/08/2017,2017,UF17-042,2231,Male,Hispanic,40,15,101st,1,3
10/31/2017,2017,UF17-675,2232,Male,Hispanic,58,16,101st,2,3
02/09/2017,2017,UF17-086,2237,Male,Hispanic,39,15,101st,2,4
05/03/2017,2017,UF17-305,2239,Male,Hispanic,53,15,101st,7,2
11/19/2017,2017,UF17-728,2242,Male,Hispanic,38,16,101st,2,2
03/21/2017,2017,UF17-138,2243,Male,Hispanic,38,15,101st,1,1
02/25/2017,2017,UF17-164,2246,Male,Hispanic,52,15,101st,3,8
03/06/2017,2017,UF17-145,2250,Male,Hispanic,54,15,101st,4,1
