inc_id,off_id,off_gender,off_race,off_age,off_yos,off_cohort,inc_off_count,off_uof_count,inc_coh_homophily_ratio
UF18-0002,2714,Male,White,40,10,10-Lateral,3,3,0
UF18-0002,2616,Male,Hispanic,35,10,109th,3,5,0
UF18-0002,3166,Male,Hispanic,25,0,121st,3,11,0
UF18-0003,2990,Male,Hispanic,35,3,117th,2,4,0
UF18-0003,3150,Male,Hispanic,26,0,121st,2,17,0
UF18-0007,2888,Male,Hispanic,34,5,115th,2,3,0
UF18-0007,2962,Male,White,34,4,116th,2,6,0
UF18-0009,2979,Male,Hispanic,26,3,117th,2,3,0
UF18-0009,3021,Male,Hispanic,32,2,118th,2,11,0
UF18-0013,2773,Male,Hispanic,31,9,111th,2,10,0
UF18-0013,2896,Female,Hispanic,30,5,115th,2,6,0
UF18-0014,2331,Male,Hispanic,47,15,102nd,3,1,0
UF18-0014,3113,Female,Hispanic,30,0,120th,3,1,0
UF18-0014,1600,Male,Hispanic,49,23,87th,3,10,0
UF18-0018,2395,Male,Hispanic,39,14,103rd,6,5,0
UF18-0018,2560,Male,Hispanic,35,11,108th,6,2,0
UF18-0018,2926,Male,Hispanic,37,5,115th,6,5,0
UF18-0018,2976,Male,Hispanic,27,3,117th,6,4,0
UF18-0018,3059,Male,Hispanic,39,2,119th,6,3,0
UF18-0018,3097,Male,White,28,1,120th,6,4,0
UF18-0019,2733,Male,Hispanic,41,9,111th,3,6,.66666669
UF18-0019,2929,Male,Hispanic,33,4,116th,3,3,.66666669
UF18-0019,2943,Male,Hispanic,34,4,116th,3,7,.66666669
UF18-0022,2505,Male,Hispanic,41,12,106th,2,5,0
UF18-0022,3126,Male,Hispanic,23,0,121st,2,11,0
UF18-0023,2978,Male,Hispanic,27,3,117th,4,13,.5
UF18-0023,2977,Male,Hispanic,33,3,117th,4,6,.5
UF18-0023,3035,Male,White,27,2,118th,4,1,.5
UF18-0023,3117,Male,Hispanic,24,1,120th,4,4,.5
UF18-0025,2285,Male,Hispanic,44,15,102nd,2,5,0
UF18-0025,2892,Male,Hispanic,34,5,115th,2,7,0
UF18-0026,2940,Male,Hispanic,30,4,116th,3,2,0
UF18-0026,3069,Male,Hispanic,30,2,119th,3,5,0
UF18-0026,3126,Male,Hispanic,23,1,121st,3,11,0
UF18-0027,2691,Male,White,35,10,110th,3,5,0
UF18-0027,3141,Female,White,27,1,121st,3,2,0
UF18-0027,3191,Male,Hispanic,27,0,122nd,3,1,0
