inc_id,off_id,off_gender2,off_race2,off_age,off_yos,off_cohort,inc_off_count,off_uof_count,inc_coh_homophily_ratio,off_race,off_gender
UF18-0851,2706,Male,Hispanic,44,11,110th,3,1,0,4,0
UF18-0851,2842,Male,Hispanic,32,7,113th,3,2,0,4,0
UF18-0851,2920,Male,Hispanic,32,6,115th,3,1,0,4,0
UF19-0001,3074,Male,Hispanic,24,2,119th,5,8,1,4,0
UF19-0001,3047,Male,Hispanic,27,2,119th,5,4,1,4,0
UF19-0001,3102,Male,Hispanic,27,2,120th,5,14,1,4,0
UF19-0001,3103,Male,Hispanic,34,2,120th,5,4,1,4,0
UF19-0001,3112,Female,Hispanic,28,2,120th,5,3,1,4,1
UF19-0002,2480,Male,Hispanic,36,13,105th,7,3,0,4,0
UF19-0002,2650,Male,Hispanic,33,11,109th,7,6,0,4,0
UF19-0002,2702,Male,Hispanic,46,11,110th,7,1,0,4,0
UF19-0002,2797,Male,Hispanic,34,10,112th,7,1,0,4,0
UF19-0002,2873,Male,Hispanic,38,6,114th,7,2,0,4,0
UF19-0002,1404,Male,Hispanic,54,28,81st,7,1,0,4,0
UF19-0002,2164,Male,Hispanic,50,18,99th,7,2,0,4,0
UF19-0006,2845,Male,Hispanic,29,7,113th,2,3,0,4,0
UF19-0006,3094,Male,Hispanic,24,2,120th,2,16,0,4,0
UF19-0007,2743,Male,Hispanic,42,10,111th,2,1,0,4,0
UF19-0007,3036,Female,White,33,3,118th,2,2,0,5,1
UF19-0008,3068,Male,Hispanic,39,3,119th,3,9,.66666669,4,0
UF19-0008,3219,Male,White,38,1,122nd,3,8,.66666669,5,0
UF19-0008,3191,Male,Hispanic,28,1,122nd,3,6,.66666669,4,0
UF19-0009,3160,Female,Hispanic,24,1,100th,2,8,0,4,1
UF19-0009,2967,Male,Hispanic,29,4,117th,2,10,0,4,0
UF19-0010,2671,Male,Hispanic,41,11,109th,5,11,.40000001,4,0
UF19-0010,2655,Male,Black,60,11,109th,5,5,.40000001,3,0
UF19-0010,2967,Male,Hispanic,29,5,117th,5,10,.40000001,4,0
UF19-0010,3201,Male,White,26,1,122nd,5,3,.40000001,5,0
UF19-0010,2093,Male,White,44,18,97th,5,6,.40000001,5,0
UF19-0013,3109,Female,Hispanic,25,2,120th,2,1,0,4,1
UF19-0013,3145,Male,Hispanic,30,1,121st,2,10,0,4,0
UF19-0014,2888,Male,Hispanic,35,6,115th,3,1,0,4,0
UF19-0014,3110,Male,Hispanic,27,2,120th,3,5,0,4,0
UF19-0014,3139,Male,Hispanic,23,1,121st,3,4,0,4,0
UF19-0015,3102,Male,Hispanic,27,2,120th,2,14,1,4,0
UF19-0015,3103,Male,Hispanic,34,2,120th,2,4,1,4,0
UF19-0020,3230,Male,Hispanic,23,1,122nd,3,12,1,4,0
UF19-0020,3197,Male,Hispanic,29,1,122nd,3,1,1,4,0
UF19-0020,3208,Male,White,32,1,122nd,3,4,1,5,0
UF19-0021,2560,Male,Hispanic,36,12,108th,2,3,0,4,0
UF19-0021,3030,Male,Hispanic,25,3,118th,2,16,0,4,0
UF19-0023,3048,Female,Hispanic,33,2,119th,2,12,1,4,1
UF19-0023,3076,Male,Hispanic,30,2,119th,2,8,1,4,0
UF19-0024,3056,Male,Hispanic,27,2,119th,2,3,0,4,0
UF19-0024,3148,Female,Hispanic,34,1,121st,2,3,0,4,1
UF19-0027,2285,Male,Hispanic,45,16,102nd,6,11,.33333334,4,0
UF19-0027,2659,Male,Hispanic,41,11,109th,6,1,.33333334,4,0
UF19-0027,3011,Female,Hispanic,31,3,118th,6,2,.33333334,4,1
UF19-0027,3040,Male,Hispanic,30,2,119th,6,2,.33333334,4,0
UF19-0027,3063,Male,Hispanic,31,2,119th,6,12,.33333334,4,0
UF19-0027,3133,Male,Hispanic,39,1,121st,6,5,.33333334,4,0
UF19-0028,3119,Male,White,24,2,120th,2,7,1,5,0
UF19-0028,3104,Male,White,24,2,120th,2,8,1,5,0
UF19-0030,2537,Male,White,38,12,107th,2,5,0,5,0
UF19-0030,2781,Male,Hispanic,37,10,12-Lateral,2,1,0,4,0
UF19-0032,2575,Male,Hispanic,37,12,108th,2,3,0,4,0
UF19-0032,2881,Male,Hispanic,30,6,114th,2,8,0,4,0
UF19-0033,3035,Male,White,28,4,118th,2,1,0,5,0
UF19-0033,3111,Male,Hispanic,39,2,120th,2,1,0,4,0
UF19-0034,2329,Male,Hispanic,40,16,102nd,8,1,.5,4,0
UF19-0034,2360,Male,White,38,16,102nd,8,2,.5,5,0
UF19-0034,2660,Male,White,33,11,109th,8,3,.5,5,0
UF19-0034,1400,Male,Hispanic,50,28,81st,8,1,.5,4,0
UF19-0034,1741,Male,White,48,23,90th,8,1,.5,5,0
UF19-0034,1797,Male,Hispanic,45,23,91st,8,1,.5,4,0
UF19-0034,2070,Male,Hispanic,43,18,98th,8,2,.5,4,0
UF19-0034,2142,Male,Hispanic,45,18,98th,8,2,.5,4,0
UF19-0036,2595,Male,Hispanic,37,12,108th,2,4,0,4,0
UF19-0036,3177,Male,Hispanic,28,1,122nd,2,4,0,4,0
UF19-0037,2932,Male,White,27,5,116th,3,7,.66666669,5,0
UF19-0037,3122,Male,Hispanic,30,1,121st,3,6,.66666669,4,0
UF19-0037,3124,Male,Hispanic,26,1,121st,3,13,.66666669,4,0
UF19-0038,2765,Male,Hispanic,35,10,111th,3,4,.66666669,4,0
UF19-0038,2775,Male,Hispanic,39,10,111th,3,5,.66666669,4,0
UF19-0038,2799,Male,Hispanic,45,10,112th,3,2,.66666669,4,0
UF19-0043,2484,Male,Hispanic,41,13,106th,3,2,0,4,0
UF19-0043,2842,Male,Hispanic,32,7,113th,3,2,0,4,0
UF19-0043,3124,Male,Hispanic,26,2,121st,3,13,0,4,0
UF19-0046,2716,Male,Hispanic,45,11,11th Lateral,2,3,0,4,0
UF19-0046,2120,Male,Hispanic,41,18,99th,2,1,0,4,0
UF19-0047,2910,Male,White,31,6,115th,2,9,0,5,0
UF19-0047,3048,Female,Hispanic,33,2,119th,2,12,0,4,1
UF19-0048,3160,Female,Hispanic,24,2,100th,8,8,.5,4,1
UF19-0048,2222,Male,White,43,17,100th,8,4,.5,5,0
UF19-0048,2274,Male,Hispanic,44,17,101st,8,2,.5,4,0
UF19-0048,3151,Male,Hispanic,31,2,121st,8,9,.5,4,0
UF19-0048,3156,Male,Hispanic,23,2,121st,8,8,.5,4,0
UF19-0048,3236,Female,Hispanic,30,1,122nd,8,5,.5,4,1
UF19-0048,2097,Male,Hispanic,49,18,98th,8,5,.5,4,0
UF19-0048,2675,Female,Hispanic,43,12,L-7,8,2,.5,4,1
UF19-0050,3032,Female,Hispanic,40,3,118th,3,6,0,4,1
UF19-0050,3093,Male,Hispanic,27,2,120th,3,5,0,4,0
UF19-0050,3210,Male,White,29,1,122nd,3,4,0,5,0
UF19-0052,2400,Male,Hispanic,44,14,104th,2,1,0,4,0
UF19-0052,3191,Male,Hispanic,28,1,122nd,2,6,0,4,0
UF19-0054,3080,Female,Hispanic,33,2,119th,4,3,.5,4,1
UF19-0054,3076,Male,Hispanic,30,2,119th,4,8,.5,4,0
UF19-0054,3107,Female,White,27,2,120th,4,3,.5,5,1
UF19-0054,1870,Male,Hispanic,43,21,94th,4,2,.5,4,0
UF19-0056,3118,Male,White,36,2,120th,2,7,0,5,0
UF19-0056,3232,Male,Hispanic,35,1,122nd,2,11,0,4,0
