inc_id,off_id,off_gender,off_race,off_age,off_yos,off_cohort,inc_off_count,off_uof_count,dup_count,coh_dup_count,coh_homophily_ratio
UF19-0998,3054,Male,White,47,4,119th,2,5,,0,0
UF19-0998,3145,Male,Hispanic,31,3,121st,2,11,,0,0
UF20-0001,3062,Female,Hispanic,27,3,119th,2,3,,0,0
UF20-0001,3142,Female,Hispanic,29,2,121st,2,5,,0,0
UF20-0002,2977,Male,Hispanic,35,5,117th,2,8,,0,0
UF20-0002,3262,Male,Hispanic,24,1,123rd,2,12,,0,0
UF20-0009,2360,Male,White,39,17,102nd,4,5,,2,.5
UF20-0009,3099,Male,Hispanic,32,3,120th,4,8,,2,.5
UF20-0009,3193,Male,Hispanic,42,1,122nd,4,9,1,2,.5
UF20-0009,3188,Male,Hispanic,29,1,122nd,4,8,1,2,.5
UF20-0015,2403,Male,Hispanic,45,15,104th,4,1,,0,0
UF20-0015,2480,Male,Hispanic,37,14,105th,4,5,,0,0
UF20-0015,2993,Male,Hispanic,34,5,117th,4,4,,0,0
UF20-0015,1734,Male,Hispanic,48,24,90th,4,1,,0,0
UF20-0016,2252,Male,Hispanic,52,18,101st,2,7,,0,0
UF20-0016,3150,Male,Hispanic,28,2,121st,2,16,,0,0
UF20-0017,2986,Male,Hispanic,42,5,117th,2,7,,0,0
UF20-0017,3244,Female,Hispanic,27,1,123rd,2,19,,0,0
UF20-0018,2799,Male,Hispanic,46,11,112th,3,3,,0,0
UF20-0018,3237,Male,Hispanic,28,1,122nd,3,6,,0,0
UF20-0018,2015,Male,Hispanic,45,20,97th,3,2,,0,0
UF20-0019,2955,Male,Hispanic,29,6,116th,2,3,,0,0
UF20-0019,3087,Male,Hispanic,27,3,120th,2,3,,0,0
UF20-0022,2890,Male,Hispanic,29,7,115th,3,18,,2,.66666669
UF20-0022,3003,Male,Hispanic,30,4,118th,3,5,1,2,.66666669
UF20-0022,2994,Male,Hispanic,41,4,118th,3,9,1,2,.66666669
UF20-0023,3121,Male,Hispanic,30,2,121st,4,8,1,4,1
UF20-0023,3129,Female,White,25,3,121st,4,30,1,4,1
UF20-0023,3196,Male,Hispanic,32,1,122nd,4,13,1,4,1
UF20-0023,3181,Male,Hispanic,25,1,122nd,4,12,1,4,1
UF20-0024,3150,Male,Hispanic,28,2,121st,2,16,,0,0
UF20-0024,3247,Male,White,27,1,123rd,2,22,,0,0
UF20-0025,3246,Male,Hispanic,23,1,123rd,2,22,1,2,1
UF20-0025,3249,Male,Hispanic,25,1,123rd,2,13,1,2,1
UF20-0027,3062,Female,Hispanic,27,3,119th,4,3,,0,0
UF20-0027,3142,Female,Hispanic,29,2,121st,4,5,,0,0
UF20-0027,3199,Male,White,35,1,122nd,4,9,,0,0
UF20-0027,1698,Male,Hispanic,54,25,89th,4,2,,0,0
UF20-0028,3163,Male,Hispanic,32,3,121st,3,8,,2,.66666669
UF20-0028,3187,Male,Hispanic,27,2,122nd,3,7,1,2,.66666669
UF20-0028,3185,Male,Black,26,2,122nd,3,9,1,2,.66666669
UF20-0029,2223,Male,Hispanic,49,18,100th,2,1,,0,0
UF20-0029,2520,Male,Hispanic,46,13,107th,2,3,,0,0
UF20-0030,2882,Male,Hispanic,35,7,114th,4,8,,2,.5
UF20-0030,3129,Female,White,25,3,121st,4,30,1,2,.5
UF20-0030,3133,Male,Hispanic,40,3,121st,4,10,1,2,.5
UF20-0030,3196,Male,Hispanic,32,1,122nd,4,13,,2,.5
UF20-0031,1640,Male,Hispanic,55,25,87th,2,2,,0,0
UF20-0031,1706,Male,Hispanic,49,25,89th,2,6,,0,0
UF20-0032,3227,Male,Hispanic,25,2,122nd,2,10,1,2,1
UF20-0032,3230,Male,Hispanic,24,2,122nd,2,22,1,2,1
UF20-0034,3225,Male,Hispanic,27,1,122nd,2,5,,0,0
UF20-0034,3287,Male,Hispanic,24,1,123rd,2,10,,0,0
UF20-0035,2290,Male,Hispanic,39,17,102nd,3,1,,0,0
UF20-0035,3110,Male,Hispanic,28,3,120th,3,8,,0,0
UF20-0035,3229,Male,Hispanic,25,1,122nd,3,8,,0,0
UF20-0036,3102,Male,Hispanic,28,3,120th,2,17,,0,0
UF20-0036,3166,Male,Hispanic,27,3,121st,2,5,,0,0
UF20-0037,3297,Male,Hispanic,34,1,123rd,3,4,,0,0
UF20-0037,3354,Male,Hispanic,24,1,124th,3,27,,0,0
UF20-0037,1698,Male,Hispanic,54,25,89th,3,2,,0,0
UF20-0039,3102,Male,Hispanic,28,3,120th,4,17,,2,.5
UF20-0039,3187,Male,Hispanic,27,1,122nd,4,7,1,2,.5
UF20-0039,3185,Male,Black,26,1,122nd,4,9,1,2,.5
UF20-0039,2855,Male,Hispanic,34,8,16th-Lateral,4,4,,2,.5
UF20-0040,3107,Female,White,28,3,120th,2,12,,0,0
UF20-0040,3135,Female,White,26,2,121st,2,12,,0,0
UF20-0041,2252,Male,Hispanic,52,18,101st,3,7,,0,0
UF20-0041,3032,Female,Hispanic,41,4,118th,3,7,,0,0
UF20-0041,3249,Male,Hispanic,25,1,123rd,3,13,,0,0
UF20-0043,3198,Male,Hispanic,28,1,122nd,2,11,1,2,1
UF20-0043,3238,Male,Hispanic,23,1,122nd,2,13,1,2,1
UF20-0044,2190,Male,Alaskan Native/Native American,41,18,100th,5,3,,2,.40000001
UF20-0044,3129,Female,White,25,2,121st,5,30,,2,.40000001
UF20-0044,3181,Male,Hispanic,25,1,122nd,5,12,,2,.40000001
UF20-0044,3275,Female,White,25,1,123rd,5,3,1,2,.40000001
UF20-0044,3244,Female,Hispanic,27,1,123rd,5,19,1,2,.40000001
UF20-0045,2977,Male,Hispanic,35,5,117th,3,8,,0,0
UF20-0045,3092,Male,Hispanic,36,3,120th,3,10,,0,0
UF20-0045,3215,Male,Hispanic,28,2,122nd,3,6,,0,0
UF20-0047,2252,Male,Hispanic,52,18,101st,4,7,,2,.5
UF20-0047,3129,Female,White,25,3,121st,4,30,,2,.5
UF20-0047,3181,Male,Hispanic,25,2,122nd,4,12,1,2,.5
UF20-0047,3196,Male,Hispanic,32,2,122nd,4,13,1,2,.5
UF20-0048,3001,Male,Hispanic,34,4,118th,2,6,,0,0
UF20-0048,3100,Female,Hispanic,36,3,120th,2,3,,0,0
UF20-0049,2896,Female,Hispanic,32,7,115th,3,4,,0,0
UF20-0049,2971,Male,Hispanic,42,5,117th,3,6,,0,0
UF20-0049,3001,Male,Hispanic,34,4,118th,3,6,,0,0
UF20-0053,2404,Male,Hispanic,39,15,104th,2,5,,0,0
UF20-0053,2658,Female,Hispanic,40,12,109th,2,1,,0,0
UF20-0055,3247,Male,White,27,1,123rd,2,22,1,2,1
UF20-0055,3246,Male,Hispanic,23,1,123rd,2,22,1,2,1
UF20-0057,2420,Male,White,40,15,104th,6,1,,0,0
UF20-0057,2540,Male,Hispanic,43,13,107th,6,4,,0,0
UF20-0057,2731,Male,Hispanic,36,11,111th,6,2,,0,0
UF20-0057,2893,Male,Hispanic,35,7,115th,6,2,,0,0
UF20-0057,1025,Male,Hispanic,60,32,75th,6,1,,0,0
UF20-0057,2156,Male,Hispanic,48,19,99th,6,4,,0,0
UF20-0058,3230,Male,Hispanic,24,2,122nd,2,22,1,2,1
UF20-0058,3227,Male,Hispanic,25,2,122nd,2,10,1,2,1
UF20-0059,2460,Male,White,44,14,105th,2,2,,0,0
UF20-0059,3074,Male,Hispanic,25,4,119th,2,4,,0,0
UF20-0060,3150,Male,Hispanic,28,3,121st,4,16,,2,.5
UF20-0060,3244,Female,Hispanic,27,1,123rd,4,19,1,2,.5
UF20-0060,3247,Male,White,27,1,123rd,4,22,1,2,.5
UF20-0060,3349,Male,Hispanic,28,1,124th,4,9,,2,.5
UF20-0061,3002,Male,Black,30,5,118th,3,5,,2,.66666669
UF20-0061,3185,Male,Black,26,2,122nd,3,9,1,2,.66666669
UF20-0061,3187,Male,Hispanic,27,2,122nd,3,7,1,2,.66666669
UF20-0062,2972,Male,Hispanic,41,5,117th,3,1,,0,0
UF20-0062,3102,Male,Hispanic,28,3,120th,3,17,,0,0
UF20-0062,3331,Male,Hispanic,28,1,124th,3,4,,0,0
UF20-0063,2963,Female,Hispanic,46,6,116th,3,2,,0,0
UF20-0063,3112,Female,Hispanic,29,3,120th,3,6,,0,0
UF20-0064,3102,Male,Hispanic,28,3,120th,3,17,,0,0
UF20-0064,3202,Female,Hispanic,23,2,122nd,3,8,,0,0
UF20-0064,3331,Male,Hispanic,28,1,124th,3,4,,0,0
UF20-0065,2862,Male,White,35,7,114th,3,3,,2,.66666669
UF20-0065,3230,Male,Hispanic,24,2,122nd,3,22,1,2,.66666669
UF20-0065,3229,Male,Hispanic,25,2,122nd,3,8,1,2,.66666669
UF20-0066,3132,Male,Hispanic,35,3,121st,2,8,1,2,1
UF20-0066,3166,Male,Hispanic,27,3,121st,2,5,1,2,1
UF20-0068,3087,Male,Hispanic,27,3,120th,3,3,,2,.66666669
UF20-0068,3364,Male,Hispanic,23,1,124th,3,28,1,2,.66666669
UF20-0068,3366,Male,Black,26,1,124th,3,13,1,2,.66666669
UF20-0069,3114,Male,Hispanic,27,3,120th,3,5,,2,.66666669
UF20-0069,3250,Male,Hispanic,25,1,123rd,3,8,1,2,.66666669
UF20-0069,3262,Male,Hispanic,24,1,123rd,3,12,1,2,.66666669
UF20-0070,2320,Male,Hispanic,47,17,102nd,4,2,1,2,.5
UF20-0070,2300,Male,Hispanic,46,17,102nd,4,2,1,2,.5
UF20-0070,2798,Male,White,39,11,112th,4,5,,2,.5
