inc_id,off_id,off_gender2,off_race2,off_age,off_yos,off_cohort,inc_off_count,off_uof_count,inc_coh_homophily_ratio,off_race,off_gender,year
UF17-001,2902,Male,Hispanic,27,4,115th,5,7,.40000001,4,0,2017
UF17-001,2956,Male,Hispanic,30,3,116th,5,10,.40000001,4,0,2017
UF17-001,2942,Male,Hispanic,31,3,116th,5,8,.40000001,4,0,2017
UF17-001,2977,Male,Hispanic,32,2,117th,5,14,.40000001,4,0,2017
UF17-001,3101,Male,White,30,0,120th,5,7,.40000001,5,0,2017
UF17-002,2950,Male,Hispanic,26,3,116th,4,8,.5,4,0,2017
UF17-002,2978,Male,Hispanic,26,2,117th,4,14,.5,4,0,2017
UF17-002,2997,Male,Hispanic,27,1,118th,4,10,.5,4,0,2017
UF17-002,3021,Male,Hispanic,31,1,118th,4,5,.5,4,0,2017
UF17-004,2561,Male,Hispanic,33,10,108th,3,1,0,4,0,2017
UF17-004,2961,Female,Hispanic,27,3,116th,3,7,0,4,1,2017
UF17-004,2986,Male,Hispanic,39,2,117th,3,4,0,4,0,2017
UF17-007,2502,Male,Hispanic,37,11,106th,3,4,0,4,0,2017
UF17-007,2934,Male,Hispanic,24,3,116th,3,9,0,4,0,2017
UF17-007,3108,Male,White,30,0,120th,3,4,0,5,0,2017
UF17-010,2490,Male,Hispanic,34,11,106th,2,1,0,4,0,2017
UF17-010,2773,Male,Hispanic,30,8,111th,2,11,0,4,0,2017
UF17-011,2535,Male,White,32,10,107th,3,2,0,5,0,2017
UF17-011,2954,Male,Hispanic,31,3,116th,3,7,0,4,0,2017
UF17-011,3101,Male,White,30,0,120th,3,7,0,5,0,2017
UF17-013,2984,Female,Hispanic,27,2,117th,2,4,1,4,1,2017
UF17-013,2987,Male,Hispanic,25,2,117th,2,4,1,4,0,2017
UF17-014,2717,Male,White,33,8,111th,4,17,0,5,0,2017
UF17-014,2929,Male,Hispanic,32,3,116th,4,13,0,4,0,2017
UF17-014,2987,Male,Hispanic,25,2,117th,4,4,0,4,0,2017
UF17-014,3062,Female,Hispanic,24,0,119th,4,10,0,4,1,2017
UF17-016,2902,Male,Hispanic,27,4,115th,2,7,0,4,0,2017
UF17-016,2956,Male,Hispanic,30,3,116th,2,10,0,4,0,2017
UF17-017,2346,Male,Hispanic,36,14,102nd,2,4,0,4,0,2017
UF17-017,2840,Male,White,28,5,113th,2,7,0,5,0,2017
UF17-019,3014,Male,White,25,2,118th,4,5,0,5,0,2017
UF17-019,3103,Male,Hispanic,32,0,120th,4,3,0,4,0,2017
UF17-019,3140,Male,Hispanic,25,0,121st,4,6,0,4,0,2017
UF17-019,1828,Male,Hispanic,52,20,92nd,4,6,0,4,0,2017
UF17-021,2421,Male,Hispanic,46,12,104th,2,3,0,4,0,2017
UF17-021,2972,Male,Hispanic,38,2,117th,2,7,0,4,0,2017
UF17-022,2888,Male,Hispanic,33,4,115th,2,8,0,4,0,2017
UF17-022,3110,Male,Hispanic,25,0,120th,2,4,0,4,0,2017
UF17-023,3040,Male,Hispanic,28,0,119th,2,7,0,4,0,2017
UF17-023,2827,Male,Hispanic,43,6,14th Lateral,2,5,0,4,0,2017
UF17-025,2242,Male,Hispanic,37,15,101st,2,2,0,4,0,2017
UF17-025,2496,Male,Hispanic,33,11,106th,2,1,0,4,0,2017
UF17-027,2700,Male,Hispanic,35,9,110th,2,2,0,4,0,2017
UF17-027,2862,Male,White,32,4,114th,2,10,0,5,0,2017
UF17-028,2226,Male,White,38,15,100th,3,1,.66666669,5,0,2017
UF17-028,2212,Male,White,48,15,100th,3,2,.66666669,5,0,2017
UF17-028,2383,Male,Hispanic,37,13,103rd,3,1,.66666669,4,0,2017
UF17-029,2928,Male,White,25,3,116th,2,10,0,5,0,2017
UF17-029,3066,Female,Hispanic,33,0,119th,2,2,0,4,1,2017
UF17-030,3061,Female,Hispanic,22,1,119th,2,6,0,4,1,2017
UF17-030,1840,Male,White,45,19,93rd,2,3,0,5,0,2017
UF17-031,2180,Male,White,39,15,100th,3,6,0,5,0,2017
UF17-031,2784,Male,Hispanic,42,8,13th Lateral,3,6,0,4,0,2017
UF17-031,1837,Male,Hispanic,47,19,93rd,3,3,0,4,0,2017
UF17-035,2972,Male,Hispanic,38,2,117th,2,7,0,4,0,2017
